sample,pedigree,comment
207,G3BD2/G3RZ1,DowDuPont
740,Mo17/Mexican Deep Kernel,Syngenta
764,235/B73,Syngenta
779,CM7-24/W117,Syngenta
787,VA17/VA29,Syngenta
790,235/B73,Syngenta
794,235/B73,Syngenta
807,W117/B37Ht,Syngenta
1538,Pioneer Hyb 3901/AS3,DowDuPont
5707,C123Ht/Va59,"Monsanto Technology, LLC"
6103,(10631/A632)/(RB14AHtA/RB14AHtB),"Monsanto Technology, LLC"
78004,B73/A634,"Monsanto Technology, LLC"
78010,B73/A634,"Monsanto Technology, LLC"
29MIBZ2,B87/Pioneer Hyb 3901 Selection,"Monsanto Technology, LLC"
2FACC,4676A/PB80,"Monsanto Technology, LLC"
282set_38-11Goodman-Buckler,,
3IBZ2,IBC2/ZZZ38,"Monsanto Technology, LLC"
4676A,1067-1/B-Line Composite,"Monsanto Technology, LLC"
4N506,B73/Iowa Stiff Stalk Synthetic 2,Syngenta
6M502,MAWU/4913,"Monsanto Technology, LLC"
78002A,B73/A634,"Monsanto Technology, LLC"
78371A,4726/Iowa Long Ear,"Monsanto Technology, LLC"
78551S,78060A/LH38,"Monsanto Technology, LLC"
83IBI3,IBC2/IBI2,"Monsanto Technology, LLC"
87916W,W37-2/B73,"Monsanto Technology, LLC"
282set_A239,A347/A73,
A554,(Wf9 x WD)WD2,
282set_A556,(B165 x 886)A237,
282set_A619,(A171 x Oh43)Oh43,
A632,(Mt42 x B14)B143,
282set_A634,(Mt42 x B14)B14 ‘ B142,
282set_A635,(ND203 x B14)B142,
282set_A641,ND203 x B14,
282set_A654,(A116 x Wf9),
B09,555/031,DowDuPont
B14,,
282set_B14A,(CuzcoXB148) rust resistant sel.,
282set_B164,BSSS,
B37,BSSS,
B47,B37/SD105,DowDuPont
282set_B57,Midland,
282set_B64,(41.2504BXB143)B142,
B68,(41.2504BXB143) Sel.,
B73,BSSS,
B76,[(CI.31AXB372)B37],
282set_B84,Iowa BSSS C7 Sel.,
B97,,
BCC03,3224/LH51,Syngenta
282set_C103,Lancaster Surecrop,
282set_C123,C102 x C103 Sel.,
282set_CI187-2,,
CM105,V3XB142,
282set_CM7,W85XCMV3,
282set_CMV3,A21XW185,
DJ7,(B73/BS16)/B73,Syngenta
E8501,387/FRMo17,Syngenta
F42,B73mut,FFR Cooperative
FAPW,B14AH/B73H,"Monsanto Technology, LLC"
FBHJ,(FBAB/B84)/FBAB,"Monsanto Technology, LLC"
282set_H49,(Wf9XL97)Wf9,
H84,B37XGE440,
282set_H99,Illinois Syn. 60C,
HB8229,8200/A634,"Monsanto Technology, LLC"
282set_I205,,
IBB14,Pioneer Hyb 3710/Pioneer Hyb 3732,"Monsanto Technology, LLC"
IBB15,J6/W70884,"Monsanto Technology, LLC"
IBC2,J6/Mo17Ht,"Monsanto Technology, LLC"
J8606,P101/C103G,Syngenta
282set_K55,,
L127,P-3901/W117,Lifaco Seed Corporation
L135,P-3901/W117,Lifaco Seed Corporation
L139,P-3901/P-3780,Lifaco Seed Corporation
LH1,(B37/644)/B37,"Monsanto Technology, LLC"
LH119,(H93/B73)/B73,"Monsanto Technology, LLC"
LH123HT,Pioneer Hyb 3535,"Monsanto Technology, LLC"
LH127,(LH122/LH58)/LH122,"Monsanto Technology, LLC"
LH128,LH51/BS11,"Monsanto Technology, LLC"
LH132,(H93/B73)/B73,"Monsanto Technology, LLC"
LH143,(A635Ht/A632Ht)/A632Ht,"Monsanto Technology, LLC"
LH145,A632Ht/CM105,"Monsanto Technology, LLC"
LH149,(A662/B73)/B73,"Monsanto Technology, LLC"
LH156,Va85/Pa91,"Monsanto Technology, LLC"
LH160,ND246/Early Mo17 Pollen Composite,"Monsanto Technology, LLC"
LH162,ND246/Early Mo17 Pollen Composite,"Monsanto Technology, LLC"
LH190,(B73Ht/B68Ht)/B73Ht,"Monsanto Technology, LLC"
LH191,LH132/Pioneer Hyb 3184,"Monsanto Technology, LLC"
LH192,LHE137/LHE136,"Monsanto Technology, LLC"
LH193,LHE137/LHE136,"Monsanto Technology, LLC"
LH194,LH117/LHE137,"Monsanto Technology, LLC"
LH196,LH74/LH119,"Monsanto Technology, LLC"
LH202,(A662/B73)/B73,"Monsanto Technology, LLC"
LH205,LH74/LH119,"Monsanto Technology, LLC"
LH208,LH74/CB59G,"Monsanto Technology, LLC"
LH215,R177/Mo17,"Monsanto Technology, LLC"
LH220Ht,LH74/LH145Ht,"Monsanto Technology, LLC"
LH38,A619Ht/L120,Iowa State University Research Foundation
LH39,Oh43/L120,Iowa State University Research Foundation
LH51,Mo17-HI,"Monsanto Technology, LLC"
LH52,[(610/Mo17)/Mo17]/Mo17,"Monsanto Technology, LLC"
LH54,[(610/Mo17)/Mo17]/Mo17,"Monsanto Technology, LLC"
LH57,(Mo17/H99)/LH53,"Monsanto Technology, LLC"
LH59,(Mo17/H99)/LH53,"Monsanto Technology, LLC"
LH60,LH55/LH47,"Monsanto Technology, LLC"
LH61,[(ASA/Mo17)/Mo17]/Mo17,"Monsanto Technology, LLC"
LH65,(Mo17/LH18)/LH53,"Monsanto Technology, LLC"
LH74,A632/B73,"Monsanto Technology, LLC"
LH82,610/LH7,"Monsanto Technology, LLC"
LH85,Pioneer Hyb 3978,"Monsanto Technology, LLC"
LH93,BS11,"Monsanto Technology, LLC"
LIBC4,MBNS/Pioneer Hyb 3901 Selection,"Monsanto Technology, LLC"
Lp215D,Mo17/Lp216D,"Wilson Hybrids, Inc."
LP5,GLAMOS/B73Ht,Claeys Semences
MBNA,Mo17Ht/MDA-28,"Monsanto Technology, LLC"
MBPM,Composite 400M,"Monsanto Technology, LLC"
MBSJ,LH38/5P9-1,"Monsanto Technology, LLC"
MBST,LH38/4726-1,"Monsanto Technology, LLC"
MDF-13D,H4101/800M,"Monsanto Technology, LLC"
MM402A,LH38/MANS,"Monsanto Technology, LLC"
Mo17,187-2/C103,
282set_MO1W,,
282set_MS1334,(Golden GlowXMaize Amargo)XGolden Glow,
282set_Mt42,,
282set_N28Ht,SSS1-Syn. -2,
NS701,A632/B73Ht,DowDuPont
Oh40B,Lancaster,
Oh43,W8XOh40B,
OH7,"(CI.540XIll, L)",
Oh7B,(Oh07X38-11)Oh07,
OQ603,Pioneer Hyb 3713,DowDuPont
282set_Os420,,
Pa91,,
PB80,(1067-1/B73)/B73Ht,"Monsanto Technology, LLC"
PHBA6,PHZ51/PHG47,DowDuPont
PHG35,(G3BD2/B3W37A)/H7FS6,DowDuPont
PHG39,A33GB4/A34CB4,DowDuPont
PHG47,041/MKSDTE,DowDuPont
PHG50,848/207,DowDuPont
PHG71,A632Ht/207,DowDuPont
PHG72,891/207,DowDuPont
PHG83,814/207,DowDuPont
PHG84,848/595,DowDuPont
PHG86,B64/B73,DowDuPont
PHH93,PH806/207,DowDuPont
PHJ31,B97/595,DowDuPont
PHJ33,PHG83/CE18,DowDuPont
PHJ40,B09/B36,DowDuPont
PHJ70,AC26/B73Ht,DowDuPont
PHJ75,207/G96,DowDuPont
PHK05,CM7/051,DowDuPont
PHK35,AC34/G93H,DowDuPont
PHK42,(207/806)/207,DowDuPont
PHK76,AD18/B02,DowDuPont
PHK93,PHB72/PHT60,DowDuPont
PHM10,G39/207,DowDuPont
PHM57,B97/595,DowDuPont
PHM81,PHG72/PHG68,DowDuPont
PHN11,(207/806)/207,DowDuPont
PHN29,G69/G40,DowDuPont
PHN37,CM11/041Ht,DowDuPont
PHN66,PHG53/PHG21,DowDuPont
PHN73,041/G35,DowDuPont
PHN82,PHG29/HD38,DowDuPont
PHP55,G44/PHG29,DowDuPont
PHP60,AT2/805,DowDuPont
PHP76,G50/PHEJ8,DowDuPont
PHP85,PHK29/PHW52,DowDuPont
PHPR5,PHK76/PHW52,DowDuPont
PHR25,B83/207,DowDuPont
PHR30,PHFM5/PHG47,DowDuPont
PHR32,PHB82/PHG61,DowDuPont
PHR36,[(203/549)/549]/848,DowDuPont
PHR58,PH383/PHG16,DowDuPont
PHR63,PHG29/B89,DowDuPont
PHT10,B73/G39,DowDuPont
PHT22,207/HD12,DowDuPont
PHT55,A33GB4/A34CB4,DowDuPont
PHT60,PHW94/PHV80,DowDuPont
PHT69,PHR73/PHJ40,DowDuPont
PHV37,G27/G21,DowDuPont
PHV53,PHB89/PHDT2,DowDuPont
PHV78,G42/595,DowDuPont
PHW03,801/G48,DowDuPont
PHW17,(1D11/B73)/[B73/(B73/051)],DowDuPont
PHW20,(1D11/1M12)/B76,DowDuPont
PHW30,PHG42/PHV15,DowDuPont
PHW43,995/G35,DowDuPont
PHW51,PHDF2/PHG41,DowDuPont
PHW52,B73/G39,DowDuPont
PHW79,PHT90/PH595,DowDuPont
PHWG5,PH814/PHG16,DowDuPont
PHZ51,814/848,DowDuPont
Q381,Pioneer Hyb 3369,Quality Research Associates
282set_R177,Snelling S. B. Syn,
282set_R4,,
RS710,PAG 1202/A641,Rustica Semences
S8324,(CH593-9/B73)/B73,Syngenta
S8326,(W117/Mo17)/Mo17,Syngenta
Seagu1117,Mo17/Unknown,Rothermel Seed Company
SX-4-21,Synthetic B Derivative,The Standard Oil Company
SX-6-7,Synthetic CD Derivative,The Standard Oil Company
282set_T8,Jarvis Prolific,
282set_Va17,Wf9XT8,
Va26,Oh43XK155,
282set_Va59,(C103XT82)(K4XC1032),
282set_Va85,Va Long Ear Syn. S1 Line 8-987,
282set_W117Ht,,
282set_W182B,2nd Cycle (WDXW22),
W22,2nd Cycle (25XB10),
W64A,Wf9X187-2,
W8555,B73Ht/B84,Syngenta
282set_Wf9,Wilson Farm Reid (Purdue 11),
WIL900,82C43 Derivative,"Wilson Hybrids, Inc."
